"date","value","topic","variable","location","unit","origin","update","public","description"
2020-01-29,17875,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-30,23868,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-31,24955,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-01,15720,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-02,7971,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-03,13404,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-04,18465,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-05,23851,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-06,25306,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-07,23095,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-08,14152,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-09,10889,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-10,11602,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-11,13958,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-12,18091,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-14,16808,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-15,13968,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-16,11278,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-17,16797,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-18,23388,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-19,18709,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-20,25037,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-21,22850,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-22,18252,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-23,12656,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-24,29428,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-25,25161,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-26,18059,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-27,18795,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-28,24446,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-02-29,15849,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-01,14173,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-02,21791,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-03,26559,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-04,28757,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-05,16816,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-06,20843,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-07,16671,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-08,14753,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-09,20547,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-10,19333,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-11,30860,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-12,32821,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-13,29671,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-14,20401,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-15,20111,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-16,32308,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-17,25083,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-18,25329,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
