"date","value","topic","variable","location","unit","origin","update","public","description"
2020-02-22,55031,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-23,34009,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-24,48418,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-25,38777,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-26,37158,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-27,40563,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-28,51248,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-29,43144,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-01,41553,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-02,38472,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-03,43414,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-04,45629,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-05,33430,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-06,40420,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-07,47280,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-08,38656,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-09,36353,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-10,31627,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-11,45761,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-12,44426,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-13,43382,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-14,37621,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-15,36713,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-16,39749,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-17,30753,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-18,31747,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-19,29348,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-20,24322,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-03-21,14754,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
